'sample #','EEG Fp1','EEG Fp2','EEG F3','EEG F4','EEG F7','EEG F8','EEG T3','EEG T4','EEG C3','EEG C4','EEG T5','EEG T6','EEG P3','EEG P4','EEG O1','EEG O2','EEG Fz','EEG Cz','EEG Pz','EEG A2-A1','ECG ECG','EDF Annotations'
30,6711,16170,2807,-537,8045,4909,10485,-5655,6891,-3928,320,-9175,-211,-7332,-3608,-10388,-855,16558,2528,-16014,-22009,0
31,7369,16144,3780,-88,9467,5187,12003,-4535,8145,-2729,1311,-7854,1955,-5366,-1971,-8965,-413,17355,4820,-15246,-22026,0
32,7763,15892,4551,166,10621,5159,13236,-3425,9058,-1570,2020,-6373,3789,-3511,-657,-7316,-171,18192,6789,-14421,-22012,0
33,7909,15528,5049,233,11412,4842,14134,-2381,9573,-514,2384,-4818,5174,-1870,244,-5532,-115,19074,8316,-13604,-21964,0
34,7838,15155,5247,139,11807,4293,14692,-1455,9676,380,2390,-3280,6050,-520,699,-3733,-211,19952,9339,-12840,-21884,0
35,7597,14837,5163,-74,11830,3597,14962,-691,9401,1061,2084,-1858,6426,490,734,-2068,-416,20744,9857,-12168,-21779,0
36,7237,14611,4840,-365,11537,2843,15044,-125,8821,1490,1554,-651,6370,1140,420,-691,-682,21357,9920,-11631,-21655,0
37,6802,14471,4345,-698,10993,2104,15069,217,8037,1639,921,256,6001,1453,-135,264,-975,21716,9624,-11275,-21518,0
38,6327,14391,3745,-1046,10262,1421,15176,331,7158,1506,317,807,5460,1485,-798,718,-1274,21780,9096,-11144,-21381,0
39,5831,14327,3102,-1392,9400,808,15475,241,6291,1119,-135,1000,4897,1332,-1432,672,-1569,21552,8474,-11259,-21257,0
40,5320,14219,2466,-1722,8464,259,16022,0,5517,538,-349,882,4441,1107,-1906,211,-1856,21073,7896,-11607,-21168,0
41,4788,14009,1872,-2026,7514,-239,16811,-323,4882,-156,-283,552,4184,926,-2119,-516,-2133,20400,7478,-12130,-21132,0
42,4225,13649,1338,-2298,6622,-696,17769,-657,4390,-885,48,133,4170,873,-2019,-1332,-2397,19594,7291,-12739,-21156,0
43,3622,13108,874,-2542,5864,-1119,18776,-957,4005,-1590,578,-264,4385,981,-1608,-2070,-2652,18695,7356,-13325,-21232,0
44,2980,12386,480,-2771,5308,-1516,19689,-1218,3659,-2256,1208,-562,4771,1224,-947,-2612,-2907,17716,7633,-13791,-21332,0
45,2316,11522,152,-3010,5001,-1901,20369,-1470,3280,-2910,1833,-738,5232,1525,-132,-2901,-3181,16642,8040,-14066,-21414,0
46,1656,10583,-113,-3282,4954,-2295,20705,-1769,2805,-3604,2363,-814,5665,1784,724,-2938,-3492,15437,8465,-14121,-21436,0
47,1040,9662,-316,-3605,5134,-2718,20630,-2160,2206,-4388,2742,-831,5978,1910,1523,-2765,-3854,14070,8800,-13956,-21368,0
48,511,8852,-453,-3975,5467,-3179,20131,-2653,1499,-5279,2961,-825,6110,1850,2197,-2442,-4261,12531,8959,-13602,-21207,0
49,108,8231,-517,-4364,5854,-3671,19248,-3210,745,-6236,3046,-804,6048,1605,2717,-2030,-4687,10856,8900,-13100,-20976,0
50,-143,7840,-495,-4727,6188,-4164,18074,-3747,31,-7165,3042,-742,5820,1224,3085,-1577,-5087,9134,8621,-12498,-20720,0
51,-231,7683,-384,-5008,6382,-4618,16739,-4159,-543,-7939,2996,-596,5488,779,3322,-1124,-5408,7511,8156,-11855,-20490,0
52,-166,7727,-182,-5164,6379,-4991,15389,-4363,-905,-8443,2934,-332,5117,339,3446,-707,-5605,6156,7551,-11236,-20331,0
53,25,7910,91,-5176,6168,-5260,14163,-4329,-1031,-8609,2850,43,4755,-62,3454,-369,-5658,5226,6845,-10718,-20266,0
54,294,8164,400,-5060,5774,-5420,13161,-4102,-959,-8451,2709,465,4409,-448,3317,-162,-5577,4819,6054,-10381,-20301,0
55,582,8421,683,-4866,5242,-5487,12421,-3799,-789,-8065,2458,812,4037,-890,2987,-148,-5410,4925,5161,-10292,-20419,0
56,818,8626,868,-4665,4624,-5482,11907,-3583,-671,-7617,2045,930,3553,-1496,2407,-391,-5226,5416,4124,-10484,-20594,0
57,930,8734,879,-4531,3955,-5421,11513,-3616,-766,-7295,1437,673,2852,-2372,1535,-936,-5100,6057,2892,-10944,-20794,0
58,854,8712,658,-4519,3248,-5305,11094,-4020,-1215,-7265,632,-55,1844,-3589,366,-1805,-5095,6560,1431,-11604,-20987,0
59,547,8540,175,-4655,2487,-5122,10503,-4840,-2093,-7632,-329,-1267,485,-5152,-1055,-2975,-5244,6652,-254,-12359,-21146,0
60,-2,8210,-556,-4924,1644,-4850,9631,-6029,-3392,-8407,-1371,-2885,-1200,-6997,-2631,-4380,-5538,6157,-2110,-13089,-21250,0
61,-766,7736,-1480,-5279,689,-4480,8444,-7463,-5014,-9514,-2397,-4750,-3111,-8988,-4232,-5916,-5937,5040,-4028,-13692,-21288,0
62,-1681,7154,-2509,-5652,-396,-4023,6984,-8964,-6785,-10803,-3304,-6660,-5091,-10947,-5712,-7451,-6372,3425,-5870,-14108,-21258,0
63,-2663,6526,-3544,-5977,-1599,-3523,5358,-10343,-8496,-12089,-4006,-8408,-6957,-12686,-6945,-8853,-6769,1561,-7484,-14335,-21174,0
64,-3614,5927,-4491,-6204,-2878,-3055,3703,-11436,-9944,-13192,-4448,-9825,-8545,-14038,-7843,-10008,-7069,-247,-8741,-14423,-21061,0
65,-4454,5425,-5282,-6313,-4158,-2714,2146,-12132,-10976,-13973,-4621,-10804,-9727,-14890,-8371,-10834,-7240,-1712,-9557,-14449,-20953,0
66,-5136,5062,-5879,-6321,-5338,-2596,779,-12393,-11518,-14358,-4556,-11309,-10446,-15192,-8546,-11292,-7291,-2644,-9907,-14490,-20883,0
67,-5648,4832,-6275,-6275,-6307,-2776,-351,-12252,-11583,-14349,-4322,-11370,-10713,-14973,-8423,-11381,-7260,-2984,-9822,-14594,-20876,0
68,-6014,4680,-6482,-6235,-6955,-3288,-1234,-11804,-11261,-14015,-4003,-11071,-10599,-14320,-8081,-11132,-7210,-2808,-9384,-14764,-20941,0
69,-6277,4516,-6523,-6264,-7194,-4107,-1873,-11184,-10685,-13474,-3685,-10531,-10209,-13368,-7606,-10599,-7207,-2292,-8697,-14960,-21068,0
70,-6481,4244,-6415,-6403,-6979,-5151,-2264,-10535,-9996,-12857,-3432,-9884,-9658,-12264,-7082,-9853,-7301,-1644,-7872,-15116,-21234,0
71,-6653,3798,-6170,-6664,-6324,-6283,-2391,-9984,-9305,-12285,-3274,-9259,-9046,-11144,-6579,-8971,-7510,-1045,-7004,-15159,-21409,0
72,-6791,3172,-5792,-7020,-5311,-7338,-2233,-9612,-8675,-11839,-3210,-8760,-8444,-10106,-6159,-8033,-7817,-591,-6160,-15041,-21562,0
73,-6865,2429,-5285,-7407,-4074,-8147,-1783,-9442,-8112,-11547,-3206,-8450,-7883,-9198,-5865,-7117,-8165,-272,-5373,-14747,-21673,0
74,-6823,1696,-4656,-7736,-2777,-8567,-1065,-9435,-7576,-11381,-3217,-8341,-7363,-8421,-5722,-6292,-8469,16,-4650,-14305,-21735,0
75,-6606,1136,-3917,-7908,-1574,-8504,-144,-9509,-7009,-11273,-3197,-8397,-6861,-7744,-5738,-5616,-8632,429,-3985,-13770,-21756,0
76,-6161,908,-3090,-7827,-567,-7930,887,-9557,-6353,-11131,-3120,-8553,-6353,-7127,-5904,-5130,-8561,1111,-3372,-13207,-21751,0
77,-5451,1139,-2201,-7424,218,-6874,1929,-9483,-5574,-10866,-2983,-8729,-5829,-6550,-6199,-4861,-8183,2144,-2819,-12671,-21739,0
78,-4464,1892,-1277,-6663,838,-5421,2903,-9217,-4674,-10412,-2808,-8860,-5303,-6015,-6602,-4822,-7460,3509,-2356,-12188,-21740,0
79,-3216,3164,-342,-5554,1404,-3686,3761,-8732,-3689,-9735,-2633,-8907,-4813,-5557,-7095,-5018,-6396,5089,-2027,-11758,-21765,0
80,-1754,4882,571,-4153,2028,-1795,4492,-8044,-2681,-8842,-2497,-8862,-4415,-5223,-7667,-5446,-5041,6699,-1880,-11357,-21822,0
81,-157,6919,1433,-2556,2777,122,5104,-7196,-1732,-7777,-2432,-8737,-4170,-5059,-8313,-6094,-3487,8141,-1952,-10956,-21907,0
82,1461,9106,2193,-893,3629,1948,5603,-6255,-928,-6616,-2458,-8554,-4131,-5093,-9032,-6940,-1857,9253,-2257,-10539,-22011,0
83,2966,11254,2791,688,4472,3579,5983,-5291,-356,-5461,-2582,-8325,-4334,-5328,-9817,-7948,-300,9948,-2786,-10111,-22118,0
84,4208,13173,3155,2039,5133,4925,6222,-4376,-93,-4426,-2809,-8050,-4797,-5742,-10656,-9070,1035,10225,-3508,-9703,-22210,0
85,5054,14696,3220,3032,5437,5917,6302,-3575,-186,-3624,-3143,-7721,-5512,-6296,-11527,-10242,2015,10154,-4386,-9356,-22265,0
86,5418,15704,2956,3581,5267,6510,6230,-2944,-647,-3150,-3596,-7329,-6446,-6944,-12401,-11393,2546,9845,-5378,-9109,-22266,0
87,5281,16145,2374,3651,4613,6686,6051,-2521,-1433,-3052,-4177,-6874,-7542,-7634,-13242,-12450,2593,9415,-6448,-8987,-22202,0
88,4701,16032,1547,3275,3580,6464,5853,-2331,-2443,-3331,-4887,-6380,-8717,-8317,-14011,-13347,2183,8958,-7556,-8987,-22072,0
89,3804,15446,597,2535,2362,5891,5740,-2371,-3529,-3931,-5705,-5887,-9864,-8945,-14661,-14030,1401,8531,-8658,-9087,-21884,0
90,2757,14512,-323,1554,1191,5038,5807,-2621,-4523,-4753,-6583,-5451,-10874,-9475,-15147,-14467,375,8154,-9693,-9250,-21658,0
91,1728,13371,-1069,468,276,3988,6106,-3048,-5276,-5687,-7448,-5128,-11645,-9874,-15420,-14648,-752,7813,-10585,-9441,-21415,0
92,853,12161,-1534,-598,-247,2826,6636,-3617,-5694,-6638,-8210,-4965,-12108,-10130,-15442,-14584,-1851,7469,-11258,-9631,-21180,0
93,211,10997,-1678,-1548,-334,1633,7339,-4289,-5765,-7548,-8785,-4989,-12240,-10253,-15190,-14310,-2824,7065,-11646,-9805,-20970,0
94,-173,9972,-1532,-2326,-32,485,8129,-5040,-5565,-8403,-9105,-5208,-12069,-10278,-14665,-13879,-3614,6541,-11723,-9961,-20801,0
95,-324,9154,-1181,-2911,547,-547,8911,-5852,-5230,-9219,-9141,-5617,-11667,-10262,-13907,-13359,-4204,5839,-11513,-10103,-20682,0
96,-291,8588,-740,-3310,1260,-1400,9607,-6713,-4920,-10025,-8904,-6208,-11131,-10269,-12991,-12829,-4605,4928,-11100,-10246,-20622,0
97,-132,8299,-327,-3546,1965,-2018,10162,-7610,-4777,-10835,-8450,-6973,-10564,-10363,-12024,-12369,-4845,3819,-10615,-10409,-20625,0
98,100,8285,-21,-3645,2545,-2364,10546,-8522,-4884,-11630,-7864,-7904,-10053,-10585,-11126,-12055,-4951,2573,-10206,-10614,-20689,0
99,363,8507,133,-3631,2925,-2433,10742,-9417,-5256,-12361,-7247,-8983,-9655,-10951,-10414,-11945,-4950,1299,-10009,-10885,-20803,0
100,622,8898,136,-3523,3075,-2252,10750,-10250,-5841,-12955,-6700,-10172,-9392,-11444,-9977,-12076,-4859,129,-10110,-11237,-20948,0
101,848,9367,22,-3339,3013,-1881,10583,-10966,-6546,-13347,-6303,-11399,-9262,-12019,-9860,-12452,-4692,-808,-10527,-11667,-21093,0
102,1017,9822,-160,-3091,2796,-1403,10282,-11510,-7265,-13495,-6102,-12562,-9238,-12608,-10064,-13052,-4460,-1424,-11207,-12145,-21207,0
103,1118,10184,-355,-2795,2512,-901,9919,-11832,-7900,-13396,-6103,-13543,-9291,-13136,-10544,-13827,-4176,-1694,-12038,-12618,-21261,0
104,1153,10412,-507,-2460,2258,-442,9596,-11898,-8371,-13085,-6269,-14228,-9382,-13527,-11222,-14716,-3851,-1656,-12881,-13012,-21238,0
105,1149,10508,-575,-2095,2124,-53,9427,-11689,-8617,-12618,-6525,-14529,-9474,-13719,-12001,-15642,-3491,-1391,-13583,-13246,-21136,0
106,1145,10506,-521,-1698,2167,280,9511,-11207,-8591,-12054,-6771,-14406,-9525,-13664,-12780,-16535,-3099,-989,-14013,-13253,-20963,0
107,1185,10462,-319,-1264,2400,610,9901,-10473,-8261,-11438,-6901,-13867,-9490,-13338,-13459,-17307,-2670,-523,-14088,-12990,-20735,0
108,1302,10429,27,-790,2785,1004,10575,-9524,-7619,-10799,-6819,-12968,-9327,-12739,-13957,-17884,-2202,-30,-13767,-12453,-20469,0
109,1502,10436,497,-286,3243,1517,11435,-8422,-6700,-10157,-6468,-11799,-9010,-11899,-14217,-18199,-1703,471,-13078,-11675,-20184,0
110,1754,10477,1034,216,3676,2165,12319,-7251,-5596,-9539,-5847,-10480,-8544,-10884,-14226,-18210,-1204,975,-12110,-10727,-19901,0
111,1995,10512,1560,661,3989,2908,13041,-6121,-4449,-8990,-5014,-9149,-7971,-9795,-14013,-17910,-758,1456,-11010,-9710,-19646,0
112,2144,10475,1990,969,4116,3651,13439,-5156,-3432,-8570,-4079,-7951,-7369,-8757,-13653,-17329,-441,1871,-9958,-8744,-19452,0
113,2130,10300,2252,1061,4031,4266,13410,-4475,-2705,-8337,-3180,-7021,-6830,-7891,-13247,-16539,-331,2164,-9126,-7948,-19356,0
114,1907,9940,2306,880,3748,4622,12943,-4159,-2370,-8322,-2444,-6460,-6430,-7291,-12895,-15626,-486,2302,-8636,-7424,-19386,0
115,1481,9384,2159,412,3312,4629,12110,-4225,-2434,-8504,-1953,-6313,-6201,-6987,-12662,-14675,-922,2298,-8520,-7240,-19559,0
116,900,8671,1859,-301,2781,4259,11047,-4618,-2805,-8801,-1717,-6549,-6111,-6938,-12560,-13742,-1598,2223,-8704,-7414,-19864,0
117,255,7882,1481,-1161,2209,3558,9916,-5210,-3316,-9090,-1677,-7063,-6075,-7040,-12537,-12850,-2423,2203,-9020,-7914,-20269,0
118,-357,7124,1103,-2038,1640,2638,8869,-5839,-3774,-9239,-1721,-7703,-5978,-7151,-12492,-11989,-3271,2377,-9248,-8668,-20723,0
119,-848,6506,787,-2799,1112,1640,8019,-6349,-4013,-9148,-1724,-8306,-5712,-7139,-12315,-11141,-4013,2861,-9183,-9579,-21167,0
120,-1154,6113,570,-3337,663,712,7432,-6628,-3936,-8780,-1585,-8740,-5214,-6920,-11918,-10302,-4548,3707,-8688,-10546,-21550,0
121,-1251,5992,459,-3593,346,-26,7130,-6636,-3530,-8171,-1258,-8942,-4484,-6486,-11267,-9502,-4816,4890,-7737,-11487,-21838,0
122,-1147,6134,442,-3561,229,-496,7098,-6404,-2850,-7408,-762,-8919,-3582,-5893,-10392,-8808,-4809,6312,-6420,-12342,-22016,0
123,-877,6486,501,-3286,381,-670,7292,-6013,-1990,-6605,-172,-8738,-2609,-5256,-9380,-8310,-4566,7828,-4918,-13079,-22089,0
124,-494,6957,613,-2842,854,-560,7646,-5565,-1058,-5866,403,-8495,-1683,-4707,-8349,-8099,-4156,9278,-3455,-13686,-22079,0
125,-62,7441,761,-2320,1651,-217,8071,-5161,-151,-5270,850,-8288,-914,-4366,-7424,-8239,-3661,10522,-2249,-14168,-22010,0
126,357,7837,927,-1809,2710,286,8458,-4877,644,-4864,1075,-8191,-399,-4321,-6712,-8756,-3167,11449,-1468,-14540,-21911,0
127,699,8067,1087,-1388,3899,862,8695,-4766,1246,-4672,1016,-8253,-203,-4617,-6295,-9630,-2752,11995,-1212,-14822,-21808,0
128,916,8094,1213,-1117,5038,1420,8686,-4859,1575,-4711,654,-8492,-377,-5262,-6221,-10809,-2476,12130,-1503,-15039,-21719,0
129,977,7927,1276,-1028,5942,1882,8374,-5163,1562,-4991,6,-8908,-948,-6226,-6506,-12214,-2377,11866,-2298,-15214,-21657,0
130,885,7618,1258,-1118,6465,2200,7763,-5657,1163,-5508,-874,-9478,-1913,-7446,-7133,-13759,-2458,11255,-3502,-15360,-21630,0
131,674,7253,1157,-1345,6538,2372,6922,-6290,384,-6227,-1907,-10155,-3224,-8826,-8051,-15348,-2681,10394,-4984,-15475,-21638,0
132,408,6931,994,-1627,6181,2446,5961,-6972,-704,-7073,-2994,-10866,-4787,-10240,-9176,-16887,-2969,9421,-6593,-15538,-21671,0
133,162,6746,811,-1861,5496,2506,5008,-7585,-1974,-7929,-4036,-11515,-6461,-11544,-10396,-18273,-3224,8507,-8174,-15515,-21717,0
134,10,6756,656,-1937,4629,2652,4166,-8004,-3265,-8656,-4942,-11997,-8084,-12598,-11590,-19412,-3335,7825,-9586,-15363,-21760,0
135,-7,6974,575,-1780,3734,2959,3485,-8126,-4422,-9124,-5647,-12219,-9502,-13289,-12644,-20224,-3224,7512,-10718,-15053,-21782,0
136,111,7356,588,-1367,2933,3451,2960,-7901,-5333,-9247,-6118,-12125,-10595,-13555,-13479,-20654,-2865,7626,-11502,-14572,-21771,0
137,320,7814,690,-744,2301,4079,2534,-7342,-5955,-9004,-6361,-11708,-11306,-13395,-14053,-20683,-2296,8121,-11921,-13937,-21720,0
138,543,8236,845,-18,1864,4737,2136,-6525,-6306,-8445,-6412,-11010,-11633,-12866,-14372,-20322,-1615,8851,-11997,-13182,-21633,0
139,694,8520,1002,672,1610,5286,1710,-5568,-6445,-7671,-6320,-10100,-11619,-12058,-14466,-19608,-955,9605,-11777,-12351,-21517,0
140,706,8600,1104,1190,1505,5607,1245,-4592,-6435,-6801,-6136,-9053,-11324,-11069,-14369,-18581,-446,10160,-11308,-11485,-21384,0
141,547,8462,1109,1438,1507,5629,776,-3698,-6322,-5946,-5892,-7925,-10794,-9979,-14105,-17277,-188,10353,-10625,-10610,-21250,0
142,231,8143,997,1374,1573,5359,377,-2941,-6120,-5186,-5598,-6743,-10061,-8840,-13672,-15719,-225,10120,-9745,-9739,-21124,0
143,-200,7711,772,1021,1661,4866,124,-2337,-5825,-4565,-5250,-5508,-9144,-7677,-13056,-13925,-542,9511,-8678,-8876,-21014,0
144,-688,7236,458,441,1729,4256,73,-1871,-5432,-4105,-4839,-4216,-8067,-6509,-12247,-11926,-1084,8667,-7447,-8029,-20924,0
145,-1184,6768,87,-280,1743,3635,244,-1519,-4961,-3814,-4374,-2873,-6874,-5358,-11260,-9782,-1769,7762,-6103,-7213,-20854,0
146,-1658,6323,-301,-1058,1674,3078,616,-1266,-4459,-3707,-3885,-1510,-5646,-4268,-10149,-7595,-2520,6947,-4740,-6453,-20805,0
147,-2099,5894,-678,-1821,1508,2623,1151,-1106,-3991,-3790,-3424,-184,-4482,-3296,-9000,-5499,-3264,6306,-3466,-5774,-20778,0
148,-2504,5470,-1019,-2514,1241,2272,1811,-1041,-3611,-4065,-3051,1040,-3483,-2498,-7916,-3643,-3942,5845,-2394,-5201,-20773,0
149,-2866,5056,-1303,-3088,879,2014,2574,-1062,-3346,-4505,-2812,2099,-2717,-1911,-6987,-2160,-4507,5511,-1599,-4746,-20786,0
150,-3170,4681,-1517,-3505,429,1835,3429,-1149,-3169,-5051,-2717,2958,-2199,-1535,-6267,-1135,-4920,5231,-1094,-4412,-20810,0
151,-3398,4390,-1658,-3736,-106,1727,4361,-1265,-3017,-5615,-2735,3596,-1888,-1334,-5756,-591,-5151,4951,-819,-4202,-20830,0
152,-3535,4220,-1728,-3773,-722,1682,5336,-1369,-2804,-6094,-2797,4015,-1700,-1244,-5416,-482,-5191,4662,-665,-4121,-20823,0
153,-3584,4182,-1741,-3629,-1410,1681,6293,-1432,-2456,-6400,-2818,4223,-1534,-1196,-5177,-714,-5053,4398,-491,-4187,-20768,0
154,-3567,4254,-1718,-3350,-2146,1699,7161,-1448,-1939,-6480,-2721,4224,-1305,-1138,-4971,-1165,-4780,4211,-178,-4416,-20648,0
155,-3517,4385,-1684,-2997,-2882,1712,7883,-1440,-1269,-6333,-2452,4019,-965,-1051,-4748,-1718,-4434,4147,344,-4817,-20458,0
156,-3466,4523,-1665,-2641,-3551,1710,8452,-1447,-511,-6009,-2000,3611,-508,-945,-4489,-2273,-4083,4210,1076,-5372,-20210,0
157,-3427,4635,-1678,-2344,-4079,1719,8903,-1512,242,-5592,-1390,3020,31,-852,-4199,-2766,-3790,4362,1957,-6025,-19932,0
158,-3395,4723,-1733,-2144,-4407,1800,9306,-1658,893,-5175,-681,2286,592,-802,-3902,-3158,-3595,4530,2877,-6684,-19656,0
159,-3347,4820,-1831,-2058,-4513,2032,9722,-1891,1371,-4835,53,1474,1115,-812,-3628,-3434,-3512,4631,3717,-7239,-19416,0
160,-3261,4962,-1960,-2077,-4426,2483,10157,-2178,1639,-4613,732,668,1546,-870,-3399,-3588,-3536,4600,4376,-7583,-19233,0
161,-3128,5173,-2103,-2184,-4224,3173,10547,-2474,1697,-4510,1284,-52,1852,-938,-3228,-3620,-3647,4403,4794,-7640,-19112,0
162,-2964,5439,-2239,-2356,-4017,4055,10771,-2727,1582,-4490,1659,-615,2028,-964,-3114,-3525,-3820,4039,4965,-7385,-19043,0
163,-2803,5713,-2345,-2573,-3922,5019,10700,-2895,1348,-4501,1836,-975,2089,-898,-3044,-3302,-4033,3534,4930,-6850,-19006,0
164,-2685,5934,-2402,-2817,-4026,5910,10254,-2950,1059,-4489,1831,-1110,2072,-706,-2994,-2957,-4267,2917,4765,-6107,-18976,0
165,-2637,6046,-2393,-3072,-4367,6580,9448,-2884,775,-4415,1693,-1027,2025,-380,-2929,-2501,-4502,2223,4563,-5258,-18935,0
166,-2663,6030,-2310,-3315,-4914,6924,8394,-2705,545,-4260,1495,-751,1999,66,-2811,-1961,-4717,1491,4412,-4403,-18868,0
167,-2735,5902,-2147,-3518,-5576,6914,7274,-2430,409,-4029,1318,-324,2037,593,-2601,-1376,-4884,775,4377,-3630,-18768,0
168,-2805,5715,-1908,-3646,-6216,6598,6283,-2084,388,-3743,1229,203,2171,1155,-2272,-794,-4971,155,4489,-3002,-18632,0
169,-2819,5540,-1602,-3664,-6685,6087,5581,-1695,489,-3436,1268,770,2400,1690,-1821,-279,-4947,-276,4738,-2555,-18457,0
170,-2730,5440,-1242,-3544,-6857,5515,5260,-1304,704,-3148,1431,1309,2708,2135,-1277,111,-4790,-426,5070,-2308,-18236,0
171,-2511,5460,-848,-3279,-6652,5006,5345,-961,1001,-2926,1680,1746,3045,2417,-701,307,-4497,-241,5395,-2262,-17957,0
172,-2160,5616,-439,-2886,-6060,4642,5815,-727,1339,-2817,1952,2006,3351,2464,-183,249,-4090,261,5607,-2405,-17607,0
173,-1700,5894,-46,-2411,-5135,4454,6619,-664,1670,-2866,2173,2025,3563,2213,174,-108,-3618,976,5596,-2708,-17169,0
